Agent Name,Address,District,City,Latitude,Longitude
HALDER TELECOM,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
METALI ELECTRONICS,Raenda- স্বরণখোলা- বাংলাদেশ,রায়েন্দা,স্বরণখোলা,22.29992,89.84794
Kabir Telecom,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
Maa Pharmacy,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Nahid Telecom,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
M/S Mirajul General Store,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Baitush Sharaf Departmental Store,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Annie Telecom And Medical,মোল্লাহাট- খুলনা- বাংলাদেশ,মোল্লাহাট,মোল্লাহাট,22.88987,89.77417
Digital Center,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Animesh Cosmetics,স্বরণখোলা- খুলনা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.31333,89.84862
SAGAR STORE,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
M/S Keya Enterprise,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
Imran Store,Putikhali- মোড়লগঞ্জ- বাংলাদেশ,পুটিখালী,মোড়লগঞ্জ,22.53495,89.86802
Pritom Telecom,ফকিরহাট- খুলনা- বাংলাদেশ,ফকিরহাট,ফকিরহাট,22.77442,89.71553
M/S Tasnuba Telecom,Shekh Aa High Sarak- মংলা- বাংলাদেশ,মংলা,মংলা,22.47191,89.60435
Pulak Enterprise,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
GAZI STORE,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
KHANJAHAN ALI TELECOM,Khanjahan Ali Mazar Road- বাগেরহাট- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.67147,89.76037
MILON TELECOM,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Shake Pharmacy,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
Maa Telecom And Varieties Store,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Borothers Telecom,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
KALAM STORE,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
LIMON TELECOM,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Jakir Flexi-2,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
Madina Telecom,Digraj- মংলা- বাংলাদেশ,দিগরাজ,মংলা,22.53288,89.59026
M/S Kobir Store,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
Bismillah Store,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
ROY HARDWARE,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
PARTHO SAROTHI ENTERPRISE,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
M/S RANA TELECOM AND ELECTRONICS,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
Munsi Computer And Photostat,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79148,89.87604
Rozina Store,Perikhali- রামপাল- বাংলাদেশ,পেরিখালী,রামপাল,22.5262,89.65318
S M Enterprise,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Monir Medical,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
ARIF TELECOM AND VERITISE STORE,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
ZEMIS COMPUTER,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Shwan Telecom,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Sefat Telecom,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
Rofi Refa Telecom,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
Annasha Store,Mansa- ফকিরহাট- বাংলাদেশ,মনসা,ফকিরহাট,22.78719,89.67835
Suraya Telecom,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
Mayer Doya Telecom,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Arafat Telecom,Tafalbari Bazar- Z7719- স্বরণখোলা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.26376,89.8299
Farhan Telecom,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79148,89.87604
Polash Store,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Fakir Store&#xA;,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
Sheba Medical Hall,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Nesar Store,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
M/S Protima Departmental Store,College Road- কচুয়া- বাংলাদেশ,কচুয়া,কচুয়া,23.35829,90.88047
Maa Digital Studio,মোড়েলগঞ্জ- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,মোড়েলগঞ্জ,মোড়লগঞ্জ,22.45366,89.84988
BISMILLA STORE,মোল্লাহাট- খুলনা- বাংলাদেশ,মোল্লাহাট,মোল্লাহাট,22.88987,89.77417
METALI ELECTRONICS,Raenda- স্বরণখোলা- বাংলাদেশ,রায়েন্দা,স্বরণখোলা,22.29992,89.84794
Abrar Photostat,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Luna Enterprise,Depara Bazar Main Road- বাগেরহাট সদর- বাংলাদেশ,বাগেরহাট সদর,বাগেরহাট সদর,22.70814,89.81608
Lal Telecom,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
B F C Restaurant,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79148,89.87604
BISMILLAH TELECOM,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Vai Vai Varieties Store,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Jibon Pharmacy,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Harun Store,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
New Student Tailors,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
RONY ENTERPRISE,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
Jononi Store,মোল্লাহাট- খুলনা- বাংলাদেশ,মোল্লাহাট,মোল্লাহাট,22.88987,89.77417
Tecnic Ac/Freeze Servicing Fitting Center,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Evan Telecom,ফকিরহাট- খুলনা- বাংলাদেশ,ফকিরহাট,ফকিরহাট,22.77442,89.71553
Allah Varosha Pharmacy,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
MAYAR DOAA STORE,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Indrojit Store,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
MAMUN TELECOM,ফকিরহাট- খুলনা- বাংলাদেশ,ফকিরহাট,ফকিরহাট,22.77442,89.71553
Dilruba Enterprise,মোল্লাহাট- খুলনা- বাংলাদেশ,মোল্লাহাট,মোল্লাহাট,22.88987,89.77417
Amena Flaxiload,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Mobile Telecome,Mansa- ফকিরহাট- বাংলাদেশ,মনসা,ফকিরহাট,22.78719,89.67835
M/S Saikat Medical Hall,Bishnupur- বাগেরহাট সদর- বাংলাদেশ,বিসনুপুর,বাগেরহাট সদর,22.704,89.79961
UNION DIGITAL CENTRE,ফকিরহাট- খুলনা- বাংলাদেশ,ফকিরহাট,ফকিরহাট,22.77442,89.71553
Reyad Enterprise,মোল্লাহাট- খুলনা- বাংলাদেশ,মোল্লাহাট,মোল্লাহাট,22.88987,89.77417
M/S Maa Store,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
Hera Electronics,বাগেরহাট সদর- খুলনা- বাংলাদেশ,বাগেরহাট সদর,বাগেরহাট সদর,22.69637,89.75962
Ema Phone And Varieties,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Safia Electric,মোল্লাহাট- খুলনা- বাংলাদেশ,মোল্লাহাট,মোল্লাহাট,22.88987,89.77417
Almokka Hotel And Restora,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Rakhal Telecom And Gas House,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
Anis Store,মোল্লাহাট- খুলনা- বাংলাদেশ,মোল্লাহাট,মোল্লাহাট,22.88987,89.77417
Ma Enterprise,বাগেরহাট সদর- খুলনা- বাংলাদেশ,বাগেরহাট সদর,বাগেরহাট সদর,22.69637,89.75962
MOHIMA IRON STORE,মোড়েলগঞ্জ- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,মোড়েলগঞ্জ,মোড়লগঞ্জ,22.45366,89.84988
Bismillah Store,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
M/S ANONDA PROCHARONI RPKOMARI AND TELECOM,মোল্লাহাট- খুলনা- বাংলাদেশ,মোল্লাহাট,মোল্লাহাট,22.88987,89.77417
GOPAL VIDEO AND BATTERY,Jatrapur- বাগেরহাট সদর- বাংলাদেশ,যাত্রাপুর,বাগেরহাট সদর,22.72263,89.74719
Mayer Doa Cosmetics And Telecom Point,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
Aritra Telecom,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
M/S FAHAD MEDICAL HALL,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Noldha Mouvag Udc,ফকিরহাট- খুলনা- বাংলাদেশ,ফকিরহাট,ফকিরহাট,22.77442,89.71553
Muhit Telecom,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
Mizan Store,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Jakir Electronics And Telecom,মোল্লাহাট- খুলনা- বাংলাদেশ,মোল্লাহাট,মোল্লাহাট,22.88987,89.77417
Ema Digital Studio,Bishnupur- বাগেরহাট সদর- বাংলাদেশ,বিসনুপুর,বাগেরহাট সদর,22.704,89.79961
Kohinur Electronics,Doshani Traffic More- বাগেরহাট- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.65517,89.778
NAHID TELECOM,মোড়েলগঞ্জ- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,মোড়েলগঞ্জ,মোড়লগঞ্জ,22.45366,89.84988
RIPON TELECOM,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
NONGAR SUPER SHOP AND FAST FOOD CORNER,Mongla Road- মংলা- বাংলাদেশ,দিগরাজ,মংলা,22.53288,89.59026
MS AA-NAS TALUKDER ENTERPRISE,Robindronath Sarak- মংলা- বাংলাদেশ,মংলা,মংলা,22.46981,89.64699
M/S Shaon Variety Store,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
A To Z Corner,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Abs Computer,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Tahmid Enterprise,Gotapara- বাগেরহাট সদর- বাংলাদেশ,গোটপারা,বাগেরহাট সদর,22.68844,89.80094
TUTUL TELECOM,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
JEWEL STORE,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
OBAYDUL KRISHI GHOR,ফকিরহাট- খুলনা- বাংলাদেশ,ফকিরহাট,ফকিরহাট,22.77442,89.71553
Harun Dal Mill,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Jubaer Telecom,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Mayer Doya Enterprise,মোল্লাহাট- খুলনা- বাংলাদেশ,মোল্লাহাট,মোল্লাহাট,22.88987,89.77417
Vai Vai Electronics,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
Kabir Telecom And Varieti Store,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Ma Telecom,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.65836,89.77065
M/S Jakir Merin Store,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
Mizba Digital Studio,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
Urmi Fashion Collection,Lakhpur- ফকিরহাট- বাংলাদেশ,লাখপুর,ফকিরহাট,22.74137,89.65608
Hanif Jomadder Telecom,Sundarban- দিনাজপুর সদর- বাংলাদেশ,সুন্দরবন,দিনাজপুর সদর,25.75658,88.71973
Tarisha Hardware And Electronics Corner,বাগেরহাট সদর- খুলনা- বাংলাদেশ,বাগেরহাট সদর,বাগেরহাট সদর,22.69637,89.75962
Yeasin Telecom,ফকিরহাট- খুলনা- বাংলাদেশ,ফকিরহাট,ফকিরহাট,22.77442,89.71553
Krishna Varieties Store,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Rony Telecom And Computer,বাগেরহাট সদর- খুলনা- বাংলাদেশ,বাগেরহাট সদর,বাগেরহাট সদর,22.69637,89.75962
Dream Touch Digital Studio,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
MOON DIGITAL STUDIO O COMPUTER,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Habiba Store,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
Choncol Telecom,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Sampriti Digital Dong,ফকিরহাট- খুলনা- বাংলাদেশ,ফকিরহাট,ফকিরহাট,22.77442,89.71553
Sarif Enterprise,Gilatala- রামপাল- বাংলাদেশ,গিলাতলা,রামপাল,22.58893,89.69267
Howlader Telecom,স্বরণখোলা- খুলনা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.31333,89.84862
Anisha Telecom,ফকিরহাট- খুলনা- বাংলাদেশ,ফকিরহাট,ফকিরহাট,22.77442,89.71553
M H Telecom,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
BISMILLAH TELECOM,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
M/S Howlader Enterprise,Kasimpur- রামপাল- বাংলাদেশ,কাশিমপুর,রামপাল,22.60328,89.76343
Lomi pharmacy,চুলাকাঠী- সাথিয়া- রাজশাহী- বাংলাদেশ,চুলাকাঠী,সাথিয়া,24.0512,89.48971
Chacha Vatija Telecom,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
RONY DIGITAL STUDIO,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
TONU STORE,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
Tanha Enterprise,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
SOWAN TELECOM,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Mithila Telecom Center,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Sefat Traders,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
Bhai Bhai Telecom,Depara- বাগেরহাট সদর- বাংলাদেশ,দেপারা,বাগেরহাট সদর,22.71634,89.83283
R M Traders,স্বরণখোলা- খুলনা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.31333,89.84862
Gat I C T Center,মোল্লাহাট- খুলনা- বাংলাদেশ,মোল্লাহাট,মোল্লাহাট,22.88987,89.77417
AMIT TELECOM,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
Bismillah Telecom,বাগেরহাট সদর- খুলনা- বাংলাদেশ,বাগেরহাট সদর,বাগেরহাট সদর,22.69637,89.75962
ANIK TELECOM,Gangni- মোল্লাহাট- বাংলাদেশ,গাংগাই,মোল্লাহাট,22.8576,89.75573
